M14be,0.06,0.06,0.06,0.08,0.08,0.04,0.04,0.04,0.04
M15be,0.05,0.04,0.05,0.09,0.04,0.03,0.03,0.03,0.03
M16be,0.06,0.05,0.07,0.06,0.04,0.04,0.03,0.03,0.03
M17be,0.06,0.06,0.06,0.07,0.05,0.04,0.04,0.04,0.03
M18be,0.04,0.03,0.03,0.04,0.05,0.02,0.02,0.02,0.02
M19be,0.05,0.04,0.06,0.05,0.04,0.04,0.03,0.04,0.04
M01ce,0.02,0.03,0.04,0.04,0.03,0.03,0.02,0.02,0.02
M02ce,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
M03ce,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03
M04ce,0.03,0.03,0.02,0.06,0.02,0.02,0.02,0.02,0.02
M05ce,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
M06ce,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.02
M07ce,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
M08ce,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05
M09ce,0.04,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.03
M10ce,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
M11ce,0.04,0.03,0.03,0.05,0.03,0.03,0.02,0.02,0.02
M12ce,0.05,0.04,0.05,0.05,0.03,0.04,0.03,0.03,0.03
M13ce,0.04,0.03,0.04,0.07,0.03,0.02,0.03,0.03,0.03
M14ce,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.04,0.04
M15ce,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03
M16ce,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
M17ce,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.02
M18ce,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
M19ce,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03 
